epoch,pde_loss,l2_error,learning_rate
0,21920.9921875,0.0877896174788475,0.0002
1,21585.607421875,0.08775325864553452,0.0002
2,21326.3984375,0.08771634101867676,0.0002
3,21109.88671875,0.08768374472856522,0.0002
4,20925.51953125,0.08765245229005814,0.0002
5,20759.744140625,0.0876234620809555,0.0002
6,20599.0390625,0.08759711682796478,0.0002
7,20439.1484375,0.08757489174604416,0.0002
8,20275.708984375,0.08755311369895935,0.0002
9,20104.12890625,0.08753576874732971,0.0002
10,19923.109375,0.08752090483903885,0.0002
11,19744.908203125,0.08750685304403305,0.0002
12,19565.259765625,0.0874921903014183,0.0002
13,19374.25390625,0.08747506886720657,0.0002
14,19179.19140625,0.08745692670345306,0.0002
15,18980.9609375,0.08743659406900406,0.0002
16,18782.81640625,0.08741527050733566,0.0002
17,18586.16015625,0.08739577233791351,0.0002
18,18389.150390625,0.08737795054912567,0.0002
19,18194.234375,0.0873659998178482,0.0002
20,18002.84765625,0.08735425770282745,0.0002
21,17813.673828125,0.0873420462012291,0.0002
22,17628.33984375,0.08733280003070831,0.0002
23,17444.66796875,0.08732489496469498,0.0002
24,17269.060546875,0.08731792867183685,0.0002
25,17102.439453125,0.08731198310852051,0.0002
26,16941.416015625,0.08730699121952057,0.0002
27,16785.548828125,0.087305448949337,0.0002
28,16634.1796875,0.08730480819940567,0.0002
29,16486.04296875,0.08730380982160568,0.0002
30,16339.2216796875,0.08730342984199524,0.0002
31,16188.88671875,0.08730893582105637,0.0002
32,16034.736328125,0.08731711655855179,0.0002
33,15881.419921875,0.08732957392930984,0.0002
34,15727.8779296875,0.0873432382941246,0.0002
35,15576.458984375,0.0873606875538826,0.0002
36,15427.998046875,0.08738207072019577,0.0002
37,15280.8125,0.08740316331386566,0.0002
38,15135.48828125,0.08742239326238632,0.0002
39,14990.2685546875,0.08743991702795029,0.0002
40,14848.0849609375,0.08745963871479034,0.0002
41,14705.62109375,0.08747919648885727,0.0002
42,14561.9541015625,0.08749841153621674,0.0002
43,14415.5908203125,0.08751470595598221,0.0002
44,14269.212890625,0.08752992004156113,0.0002
45,14123.5341796875,0.08753956109285355,0.0002
46,13978.5419921875,0.08754485100507736,0.0002
47,13832.44921875,0.08754494041204453,0.0002
48,13687.3984375,0.08754366636276245,0.0002
49,13542.6865234375,0.08754859864711761,0.0002
50,13401.291015625,0.08755402266979218,0.0002
51,13262.953125,0.08755920827388763,0.0002
52,13129.052734375,0.08755788952112198,0.0002
53,12994.5810546875,0.08754709362983704,0.0002
54,12857.5234375,0.0875314250588417,0.0002
55,12722.7412109375,0.08751567453145981,0.0002
56,12590.181640625,0.08750367164611816,0.0002
57,12463.0517578125,0.08749856054782867,0.0002
58,12343.94921875,0.08748873323202133,0.0002
59,12222.5693359375,0.08747532218694687,0.0002
60,12098.7294921875,0.08746004104614258,0.0002
61,11975.9345703125,0.08745082467794418,0.0002
62,11853.3701171875,0.08744378387928009,0.0002
63,11730.72265625,0.0874503031373024,0.0002
64,11609.1103515625,0.08745744824409485,0.0002
65,11487.3759765625,0.08745202422142029,0.0002
66,11362.3046875,0.08743405342102051,0.0002
67,11233.849609375,0.08741455525159836,0.0002
68,11105.55078125,0.0874122604727745,0.0002
69,10977.78515625,0.08741451054811478,0.0002
70,10850.494140625,0.08740413933992386,0.0002
71,10727.2822265625,0.08738316595554352,0.0002
72,10604.6904296875,0.08736006170511246,0.0002
73,10480.662109375,0.08734043687582016,0.0002
74,10356.5322265625,0.08732251077890396,0.0002
75,10235.173828125,0.08731220662593842,0.0002
76,10116.328125,0.08729894459247589,0.0002
77,9997.85546875,0.08728251606225967,0.0002
78,9883.7236328125,0.0872669517993927,0.0002
79,9768.080078125,0.08723584562540054,0.0002
80,9655.3564453125,0.08720455318689346,0.0002
81,9544.3447265625,0.08717907965183258,0.0002
82,9437.58984375,0.08714964985847473,0.0002
83,9335.7666015625,0.08711942285299301,0.0002
84,9235.3701171875,0.08710234612226486,0.0002
85,9136.8525390625,0.08708247542381287,0.0002
